en,num,tr
d,64304,D
peace,64262,barış
forgot,64169,unutmuş olmak
force,63737,güç
short,63714,kısa
normal,63676,normal
charlie,63672,Charlie
present,63307,Sunmak
enjoy,63294,Eğlence
mike,63219,mikrofon
crime,63084,suç
horse,62923,atış
ground,62860,zemin
american,62835,Amerikan
count,62763,saymak
area,62755,alan
charge,62746,şarj
honor,62722,onur
lunch,62582,öğle yemeği
miles,62523,mil
radio,62502,radyo
idiot,62357,salak
ball,62325,top
surprise,62170,sürpriz
paper,62166,kağıt
key,62153,anahtar
boat,62148,bot
quickly,62072,hızlıca
gold,61935,altın
bar,61927,çubuk
fish,61813,balık
mark,61805,işaret
tom,61785,tom
wearing,61749,Giyiyor
crying,61698,ağlamak
accident,61671,kaza
government,61646,devlet
eight,61400,sekiz
fell,61371,düşmüş
cover,61052,kapak
certain,61050,kesin
interested,61029,ilgili
deep,60938,derin
star,60903,yıldız
sea,60812,deniz
agree,60716,kabul etmek
problems,60633,sorunlar
detective,60633,dedektif
prison,60581,hapishane
major,60560,ana
stick,60548,sopa
offer,60444,teklif
difficult,60404,zor
smart,60397,akıllı
personal,60381,kişisel
record,60360,kayıt
stopped,60200,durduruldu
hide,60133,saklamak
whether,59993,ikisinden biri
bank,59962,banka
trip,59906,seyahat
relax,59715,rahatlamak
america,59703,Amerika
public,59687,halk
list,59557,liste
afternoon,59466,öğleden sonra
brain,59464,beyin
fix,59349,düzeltmek
bastard,59332,piç
proud,59309,gurur duymak
tea,59277,çay
service,59277,hizmet
screaming,59151,çığlık
forward,59064,ileri
angry,58748,sinirli
park,58713,park
soul,58677,ruh
fighting,58657,kavga
peter,58654,Peter
rich,58651,zengin
agent,58608,ajan
blow,58531,üflemek
paul,58529,Paul
dress,58429,elbise
mary,58366,Mary
missed,58324,kaçırıldı
scene,58017,sahne
killing,57890,öldürme
standing,57866,ayakta
saved,57667,kaydedildi
mm,57659,mm
respect,57647,Saygı
killer,57555,katil
ice,57545,buz
mess,57542,karışıklık
tough,57486,zorlu
feels,57388,hissediyor
church,57254,kilise
sad,57179,üzgün
cell,57033,hücre
drunk,56919,sarhoş
share,56854,paylaşmak
camera,56757,kamera
mm-hmm,56720,mm-hmm
within,56709,içinde
card,56659,kart
fly,56595,uçmak
ben,56502,ben
girlfriend,56475,kız arkadaş
laugh,56460,gülmek
smell,56399,koku
broken,56391,kırık
mum,56281,anne
honest,56234,dürüst
often,55998,sıklıkla
starting,55979,başlangıç
calls,55940,aramalar
y,55842,sen
spent,55836,harcanan
third,55750,üçüncü
english,55677,İngilizce
visit,55638,ziyaret etmek
mama,55372,anne
judge,55336,yargıç
window,55285,pencere
hungry,55259,aç
dare,55131,cesaret
relationship,55128,ilişki
moved,55096,etkilenmiş
prove,55079,kanıtlamak
private,54978,özel
wall,54813,duvar
seat,54615,koltuk
i-i,54460,ben-ben
position,54449,konum
lieutenant,54321,teğmen
realize,54306,fark etmek
lt,54305,lt
especially,54148,özellikle
machine,54140,makine
walking,54115,yürüme
art,54096,sanat
pleasure,54085,zevk
